node_num,edge_num,tweet_num,ttg_enabled,ttg_total_ms,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms,resolve_total_ms
,,,enabled,160.736,13.021,54.351,89.924,1448.395,43.910
,,,enabled,157.900,10.557,51.168,96.153,1437.598,41.429
,,,enabled,155.860,10.800,52.008,93.037,1445.960,41.878
,,,enabled,158.223,10.679,56.424,91.104,1470.711,45.876
,,,enabled,154.508,10.878,57.077,86.536,1482.319,46.059
,,,enabled,164.046,11.532,56.959,95.537,1618.284,46.165
,,,enabled,164.213,10.919,51.744,101.536,1538.627,41.739
,,,enabled,156.070,11.093,52.681,92.281,1490.930,42.314
,,,enabled,159.717,10.912,53.621,95.168,1482.272,43.149
,,,enabled,164.992,11.107,52.660,101.210,1496.977,42.677
,,,enabled,171.805,17.980,50.284,98.847,1436.985,40.645
,,,enabled,163.576,14.441,53.943,95.164,1494.859,42.689
,,,enabled,152.259,10.935,53.221,88.086,1516.924,42.784
,,,enabled,154.741,11.077,51.784,91.864,1629.252,42.119
,,,enabled,164.115,11.324,53.826,98.939,3262.481,42.104
,,,enabled,152.776,10.982,52.710,89.069,1651.069,42.701
,,,enabled,154.842,12.038,54.185,88.601,1484.480,43.583
,,,enabled,156.096,11.212,52.037,92.832,1507.011,42.206
,,,enabled,164.011,11.158,52.995,99.842,1543.321,42.541
,,,enabled,156.021,11.321,53.169,91.515,1532.177,42.777
