node_num,edge_num,tweet_num,ttg_enabled,ttg_total_ms,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms,resolve_total_ms
,,,enabled,216.929,14.066,77.794,120.565,1191.078,64.713
,,,enabled,205.667,10.977,75.421,119.248,1224.800,62.354
,,,enabled,204.820,11.159,76.156,117.488,1216.549,62.928
,,,enabled,202.531,11.052,76.148,115.311,1256.775,62.914
,,,enabled,203.541,11.005,75.942,116.570,1215.890,62.987
,,,enabled,378.205,183.436,74.128,120.621,1230.286,61.333
,,,enabled,213.182,11.351,77.169,124.634,1234.161,63.484
,,,enabled,207.286,11.225,76.581,119.462,1234.311,63.337
,,,enabled,214.400,12.281,75.764,126.334,1232.732,62.227
,,,enabled,216.763,11.364,81.115,124.266,1251.541,67.156
,,,enabled,198.607,13.190,67.765,114.312,1172.559,55.639
,,,enabled,196.565,10.669,68.328,117.550,1202.156,55.464
,,,enabled,204.278,10.860,69.597,123.803,1216.367,56.038
,,,enabled,196.136,10.729,68.546,116.846,1212.645,56.130
,,,enabled,194.395,10.869,70.113,113.397,1223.979,57.239
,,,enabled,445.214,241.352,72.017,131.813,2442.468,58.172
,,,enabled,204.079,11.121,69.924,123.020,1213.584,57.205
,,,enabled,195.103,10.886,68.910,115.293,1242.051,56.263
,,,enabled,202.771,11.024,70.094,121.637,1216.749,57.232
,,,enabled,198.859,11.030,69.402,118.411,1214.546,56.292
